time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2016-08-06T15:44:19.20Z,39.7077506,-75.0356400,829.724,13.84,-6.99,-22.97,180.642,2580.280,118.26,333.22746,12.98666,3,4
2016-08-06T15:44:19.40Z,39.7077648,-75.0356498,822.756,12.80,-7.09,-9.76,98.000,1159.312,38.54,331.02837,9.11252,3,4
2016-08-06T15:44:19.60Z,39.7077662,-75.0356638,795.873,12.58,-7.36,-6.44,99.893,1294.184,18.11,329.67536,6.82907,3,4
2016-08-06T15:44:19.80Z,39.7077817,-75.0356781,783.034,12.38,-7.25,-6.43,89.736,1205.590,10.99,329.64191,6.61294,3,4
2016-08-06T15:44:20.00Z,39.7077869,-75.0356894,769.774,11.97,-7.37,-6.33,83.208,1138.155,7.52,328.38801,7.27312,3,4
2016-08-06T15:44:20.20Z,39.7077984,-75.0357013,753.993,11.73,-7.98,-3.54,78.442,1085.043,3.13,325.76997,7.47328,3,4
2016-08-06T15:44:20.40Z,39.7078193,-75.0357177,744.460,11.44,-7.96,-1.05,74.757,1042.395,1.69,325.18202,7.67591,3,4
2016-08-06T15:44:20.60Z,39.7078486,-75.0357378,743.677,11.23,-8.45,-1.04,71.558,1002.999,1.65,323.03806,7.29833,3,4
2016-08-06T15:44:20.80Z,39.7078781,-75.0357587,746.393,10.89,-8.45,-0.90,68.887,968.904,1.63,322.19870,7.35031,3,4
2016-08-06T15:44:21.00Z,39.7079061,-75.0357783,751.245,10.93,-8.62,-1.12,66.643,940.297,1.69,321.71816,7.67777,3,4
2016-08-06T15:44:21.20Z,39.7079157,-75.0357921,741.767,10.33,-8.63,-1.28,64.502,913.244,1.71,320.11066,7.53373,3,4
2016-08-06T15:44:21.40Z,39.7079288,-75.0358077,736.016,10.17,-8.53,-1.35,62.516,887.062,1.71,320.00323,7.45216,3,4
2016-08-06T15:44:21.60Z,39.7079389,-75.0358219,728.187,9.90,-9.07,-1.22,59.897,844.189,1.70,317.52434,7.11282,3,4
2016-08-06T15:44:21.80Z,39.7079522,-75.0358396,724.615,10.01,-8.91,-1.36,57.318,801.718,1.68,318.33677,6.82492,3,4
2016-08-06T15:44:22.00Z,39.7079669,-75.0358604,721.448,9.77,-8.90,-1.46,54.948,763.937,1.63,317.64864,6.12887,3,4
2016-08-06T15:44:22.20Z,39.7079801,-75.0358815,717.100,9.68,-8.80,-1.55,52.970,734.213,1.62,317.73207,6.00379,3,4
2016-08-06T15:44:22.40Z,39.7079899,-75.0358970,707.020,9.41,-8.79,-1.44,51.189,707.730,1.59,316.96783,6.03839,3,4
2016-08-06T15:44:22.60Z,39.7080021,-75.0359132,697.269,9.44,-8.46,-1.30,49.586,684.082,1.57,318.13068,6.12983,3,4
2016-08-06T15:44:22.80Z,39.7080144,-75.0359284,687.651,9.05,-8.92,-1.50,48.263,665.148,1.63,315.41387,6.24985,3,4
2016-08-06T15:44:23.00Z,39.7080235,-75.0359453,675.265,9.03,-9.32,-1.36,47.164,650.308,1.71,314.11540,6.78015,3,4
2016-08-06T15:44:23.20Z,39.7080372,-75.0359622,668.941,8.95,-8.69,-1.52,46.198,637.468,1.84,315.83487,7.85884,3,4
2016-08-06T15:44:23.40Z,39.7080505,-75.0359778,663.000,8.70,-8.58,-1.46,45.238,624.393,1.81,315.39010,7.71031,3,4
2016-08-06T15:44:23.60Z,39.7080622,-75.0359956,655.515,8.72,-9.19,-1.30,44.358,612.666,1.76,313.48257,7.23365,3,4
2016-08-06T15:44:23.80Z,39.7080772,-75.0360124,649.749,8.62,-8.63,-1.40,43.475,600.963,1.78,314.96034,7.53042,3,4
2016-08-06T15:44:24.00Z,39.7080846,-75.0360252,636.434,8.53,-8.36,-1.44,41.957,581.614,1.79,315.57630,7.72914,3,4
2016-08-06T15:44:24.20Z,39.7080883,-75.0360352,619.923,8.22,-8.80,-1.21,40.395,561.184,1.62,313.05884,6.55422,3,4
2016-08-06T15:44:24.40Z,39.7080980,-75.0360511,611.785,8.26,-8.80,-1.06,39.137,544.378,1.55,313.18609,6.19021,3,4
2016-08-06T15:44:24.60Z,39.7081096,-75.0360705,608.851,7.85,-9.24,-0.72,38.453,534.741,1.49,310.34344,6.44506,3,4
2016-08-06T15:44:24.80Z,39.7081240,-75.0360935,610.739,7.21,-9.65,-0.66,37.863,526.537,1.62,306.76223,6.86122,3,4
2016-08-06T15:44:25.00Z,39.7081406,-75.0361182,615.589,7.41,-9.88,-0.80,37.370,519.662,1.74,306.84854,7.06186,3,4
