time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-02-06T17:26:39.60Z,28.2192832,-82.1510945,-97.829,0.01,-0.85,2.40,224.485,596.077,30.37,3,4
2015-02-06T17:26:39.80Z,28.2192824,-82.1511027,-98.445,0.14,-1.23,3.16,121.585,299.106,15.21,3,4
2015-02-06T17:26:40.00Z,28.2192870,-82.1511070,-98.628,0.01,-1.13,3.10,117.262,298.720,12.43,3,4
2015-02-06T17:26:40.20Z,28.2192890,-82.1511088,-98.913,0.10,-1.30,3.54,100.258,258.814,10.76,3,4
2015-02-06T17:26:40.40Z,28.2192868,-82.1511092,-100.300,0.19,-1.46,3.74,89.255,232.019,9.69,3,4
2015-02-06T17:26:40.60Z,28.2192858,-82.1511031,-99.467,0.03,-1.00,2.72,81.667,213.144,8.92,3,4
2015-02-06T17:26:40.80Z,28.2192934,-82.1510928,-95.202,0.37,-0.83,2.11,75.867,198.435,8.20,3,4
2015-02-06T17:26:41.00Z,28.2192943,-82.1510885,-93.911,0.20,-0.71,1.81,71.383,187.060,7.81,3,4
2015-02-06T17:26:41.20Z,28.2192908,-82.1510867,-94.489,0.09,-0.49,1.39,67.596,177.335,7.45,3,4
2015-02-06T17:26:41.40Z,28.2192907,-82.1510837,-94.022,0.02,-0.50,1.41,64.174,168.531,7.10,3,4
2015-02-06T17:26:41.60Z,28.2192784,-82.1510904,-97.621,-0.02,-0.46,1.30,58.171,153.141,6.50,3,5
2015-02-06T17:26:41.80Z,28.2192715,-82.1510918,-98.758,0.12,-0.47,1.17,55.798,147.121,6.25,3,5
2015-02-06T17:26:42.00Z,28.2192701,-82.1510890,-98.181,-0.14,-0.39,1.13,53.733,141.838,6.05,3,5
2015-02-06T17:26:42.20Z,28.2192696,-82.1510858,-97.244,-0.28,-0.39,1.14,51.777,136.809,5.73,3,5
2015-02-06T17:26:42.40Z,28.2192702,-82.1510838,-96.447,-0.33,-0.33,1.18,50.151,132.607,5.52,3,5
