time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2015-10-24T17:28:26.00Z,39.7185606,-75.0029383,1335.432,-37.94,-43.47,-7.46,31.002,40.343,1.34,3,8
2015-10-24T17:28:26.40Z,39.7184237,-75.0031146,1335.512,-38.05,-43.34,-7.83,20.544,19.379,0.69,3,9
2015-10-24T17:28:26.60Z,39.7183473,-75.0032259,1337.071,-38.21,-43.29,-8.02,18.281,18.878,0.34,3,9
2015-10-24T17:28:26.80Z,39.7182662,-75.0033273,1339.812,-38.17,-43.34,-8.03,15.381,16.664,0.30,3,9
2015-10-24T17:28:27.00Z,39.7181908,-75.0034331,1342.115,-38.19,-43.36,-8.11,13.628,15.209,0.29,3,9
2015-10-24T17:28:27.20Z,39.7181202,-75.0035345,1344.430,-38.16,-43.33,-8.17,12.503,14.347,0.36,3,8
2015-10-24T17:28:27.40Z,39.7180536,-75.0036385,1346.388,-38.05,-43.39,-8.09,11.664,13.411,0.35,3,8
2015-10-24T17:28:27.60Z,39.7179859,-75.0037411,1347.099,-38.07,-43.31,-8.16,10.990,12.552,0.42,3,8
2015-10-24T17:28:27.80Z,39.7179140,-75.0038449,1348.524,-38.15,-43.33,-8.12,10.323,11.356,0.33,3,8
2015-10-24T17:28:28.00Z,39.7178460,-75.0039470,1349.320,-38.09,-43.33,-8.03,9.811,10.508,0.34,3,7
2015-10-24T17:28:28.20Z,39.7177788,-75.0040475,1350.668,-38.14,-43.26,-7.96,9.282,9.809,0.32,3,8
2015-10-24T17:28:28.40Z,39.7177109,-75.0041459,1352.385,-38.26,-43.43,-7.90,8.828,9.271,0.34,3,8
2015-10-24T17:28:28.60Z,39.7176455,-75.0042433,1353.158,-38.26,-43.36,-7.74,8.370,8.742,0.34,3,8
2015-10-24T17:28:28.80Z,39.7175764,-75.0043418,1354.574,-38.25,-43.29,-7.65,8.019,8.446,0.35,3,9
2015-10-24T17:28:29.00Z,39.7175057,-75.0044417,1356.168,-38.43,-43.56,-7.65,7.751,8.218,0.37,3,9
2015-10-24T17:28:29.20Z,39.7174361,-75.0045422,1357.774,-38.27,-43.57,-7.55,7.520,8.029,0.41,3,9
2015-10-24T17:28:29.40Z,39.7173653,-75.0046430,1359.335,-38.50,-43.54,-7.53,7.274,7.841,0.67,3,9
2015-10-24T17:28:29.60Z,39.7172964,-75.0047438,1360.655,-38.46,-43.42,-7.53,7.073,7.702,0.71,3,9
2015-10-24T17:28:29.80Z,39.7172272,-75.0048433,1361.871,-38.52,-43.22,-7.54,6.892,7.588,0.59,3,10
2015-10-24T17:28:30.00Z,39.7171577,-75.0049434,1363.093,-38.61,-43.31,-7.40,6.723,7.477,0.55,3,9
2015-10-24T17:28:30.20Z,39.7170870,-75.0050434,1364.506,-38.69,-43.32,-7.41,6.529,7.342,0.50,3,10
2015-10-24T17:28:30.40Z,39.7170162,-75.0051427,1365.831,-38.74,-43.28,-7.38,6.348,7.211,0.41,3,10
2015-10-24T17:28:30.60Z,39.7169464,-75.0052433,1367.075,-38.83,-43.36,-7.39,6.176,7.086,0.40,3,10
2015-10-24T17:28:30.80Z,39.7168770,-75.0053433,1368.401,-38.90,-43.25,-7.46,5.948,6.967,0.28,3,10
2015-10-24T17:28:31.00Z,39.7168065,-75.0054443,1369.851,-39.03,-43.25,-7.49,5.773,6.892,0.39,3,10
2015-10-24T17:28:31.20Z,39.7167355,-75.0055461,1371.480,-38.97,-43.57,-7.56,5.673,6.833,0.47,3,10
2015-10-24T17:28:31.40Z,39.7166628,-75.0056469,1373.007,-39.55,-43.50,-7.40,5.530,6.666,0.35,3,10
2015-10-24T17:28:31.60Z,39.7165904,-75.0057462,1374.596,-39.12,-43.06,-7.38,5.397,6.535,0.33,3,10
2015-10-24T17:28:31.80Z,39.7165173,-75.0058457,1376.485,-38.90,-43.06,-7.39,5.256,6.350,0.31,3,10
2015-10-24T17:28:32.00Z,39.7164456,-75.0059455,1377.941,-39.31,-42.70,-7.26,5.171,6.290,0.45,3,10
2015-10-24T17:28:32.20Z,39.7163742,-75.0060460,1379.529,-39.31,-43.13,-7.29,5.088,6.223,0.43,3,10
2015-10-24T17:28:32.40Z,39.7163020,-75.0061462,1381.061,-39.81,-42.85,-7.23,5.031,6.163,0.65,3,10
2015-10-24T17:28:32.60Z,39.7162306,-75.0062471,1382.711,-39.75,-43.24,-7.32,4.981,6.085,0.59,3,10
2015-10-24T17:28:32.80Z,39.7161592,-75.0063482,1384.313,-39.69,-43.27,-7.26,4.932,6.011,0.59,3,10
2015-10-24T17:28:33.00Z,39.7160882,-75.0064481,1385.870,-39.57,-42.96,-7.19,4.891,5.969,0.62,3,10
